image,labelname,labelnumber,pct
cards\Rorschach_blot_04.jpg,warplane,4,1.36%
cards\Rorschach_blot_04.jpg,long-horned_beetle,5,1.11%
cards\Rorschach_blot_04.jpg,isopod,6,1.00%
cards\Rorschach_blot_04.jpg,ground_beetle,7,0.89%
cards\Rorschach_blot_04.jpg,wall_clock,8,0.83%
cards\Rorschach_blot_04.jpg,scorpion,9,0.82%
cards\Rorschach_blot_05.jpg,long-horned_beetle,0,32.23%
cards\Rorschach_blot_05.jpg,ground_beetle,1,31.71%
cards\Rorschach_blot_05.jpg,rhinoceros_beetle,2,13.13%
cards\Rorschach_blot_05.jpg,cockroach,3,2.74%
cards\Rorschach_blot_05.jpg,weevil,4,2.61%
cards\Rorschach_blot_05.jpg,leaf_beetle,5,2.57%
cards\Rorschach_blot_05.jpg,cricket,6,1.47%
cards\Rorschach_blot_05.jpg,tiger_beetle,7,1.14%
cards\Rorschach_blot_05.jpg,isopod,8,1.12%
cards\Rorschach_blot_05.jpg,dung_beetle,9,0.88%
cards\Rorschach_blot_06.jpg,conch,0,47.75%
cards\Rorschach_blot_06.jpg,space_shuttle,1,5.79%
cards\Rorschach_blot_06.jpg,sea_cucumber,2,5.32%
cards\Rorschach_blot_06.jpg,starfish,3,1.27%
cards\Rorschach_blot_06.jpg,hook,4,0.52%
cards\Rorschach_blot_06.jpg,triceratops,5,0.51%
cards\Rorschach_blot_06.jpg,banana,6,0.50%
cards\Rorschach_blot_06.jpg,breastplate,7,0.39%
cards\Rorschach_blot_06.jpg,table_lamp,8,0.37%
cards\Rorschach_blot_06.jpg,flatworm,9,0.34%
cards\Rorschach_blot_07.jpg,geyser,0,20.92%
cards\Rorschach_blot_07.jpg,parachute,1,16.61%
cards\Rorschach_blot_07.jpg,warplane,2,11.11%
cards\Rorschach_blot_07.jpg,missile,3,9.16%
cards\Rorschach_blot_07.jpg,projectile,4,4.34%
cards\Rorschach_blot_07.jpg,volcano,5,4.03%
cards\Rorschach_blot_07.jpg,chain,6,1.88%
cards\Rorschach_blot_07.jpg,wing,7,1.05%
cards\Rorschach_blot_07.jpg,hook,8,0.83%
cards\Rorschach_blot_07.jpg,airship,9,0.80%
cards\Rorschach_blot_08.jpg,shovel,0,10.12%
cards\Rorschach_blot_08.jpg,missile,1,6.25%
cards\Rorschach_blot_08.jpg,fountain,2,3.20%
cards\Rorschach_blot_08.jpg,parachute,3,2.92%
cards\Rorschach_blot_08.jpg,tick,4,2.39%
cards\Rorschach_blot_08.jpg,pencil_sharpener,5,2.22%
cards\Rorschach_blot_08.jpg,projectile,6,2.12%
cards\Rorschach_blot_08.jpg,umbrella,7,1.92%
cards\Rorschach_blot_08.jpg,poncho,8,1.85%
cards\Rorschach_blot_08.jpg,screwdriver,9,1.84%
cards\Rorschach_blot_09.jpg,missile,0,40.91%
cards\Rorschach_blot_09.jpg,projectile,1,14.31%
cards\Rorschach_blot_09.jpg,fountain,2,13.34%
cards\Rorschach_blot_09.jpg,space_shuttle,3,3.45%
cards\Rorschach_blot_09.jpg,candle,4,1.46%
cards\Rorschach_blot_09.jpg,warplane,5,0.73%
cards\Rorschach_blot_09.jpg,tray,6,0.59%
cards\Rorschach_blot_09.jpg,altar,7,0.47%
cards\Rorschach_blot_09.jpg,geyser,8,0.37%
cards\Rorschach_blot_09.jpg,isopod,9,0.37%
cards\Rorschach_blot_10.jpg,tray,0,19.37%
cards\Rorschach_blot_10.jpg,missile,1,17.04%
cards\Rorschach_blot_10.jpg,projectile,2,4.96%
cards\Rorschach_blot_10.jpg,wall_clock,3,3.09%
cards\Rorschach_blot_10.jpg,handkerchief,4,1.87%
cards\Rorschach_blot_10.jpg,plate,5,1.77%
cards\Rorschach_blot_10.jpg,warplane,6,1.25%
cards\Rorschach_blot_10.jpg,soup_bowl,7,1.24%
cards\Rorschach_blot_10.jpg,envelope,8,1.12%
cards\Rorschach_blot_10.jpg,paper_towel,9,0.98%
