image,labelname,labelnumber,pct
cards\Rorschach_blot_04.jpg,isopod,8,1.68%
cards\Rorschach_blot_04.jpg,tick,9,1.58%
cards\Rorschach_blot_05.jpg,tick,0,30.05%
cards\Rorschach_blot_05.jpg,ant,1,7.22%
cards\Rorschach_blot_05.jpg,warplane,2,5.83%
cards\Rorschach_blot_05.jpg,isopod,3,5.57%
cards\Rorschach_blot_05.jpg,hip,4,5.30%
cards\Rorschach_blot_05.jpg,scorpion,5,4.44%
cards\Rorschach_blot_05.jpg,banded_gecko,6,3.07%
cards\Rorschach_blot_05.jpg,hair_slide,7,2.41%
cards\Rorschach_blot_05.jpg,barn_spider,8,2.12%
cards\Rorschach_blot_05.jpg,pomegranate,9,1.96%
cards\Rorschach_blot_06.jpg,conch,0,56.98%
cards\Rorschach_blot_06.jpg,space_shuttle,1,16.45%
cards\Rorschach_blot_06.jpg,sea_cucumber,2,2.45%
cards\Rorschach_blot_06.jpg,missile,3,2.36%
cards\Rorschach_blot_06.jpg,vase,4,1.82%
cards\Rorschach_blot_06.jpg,panpipe,5,1.46%
cards\Rorschach_blot_06.jpg,warplane,6,1.35%
cards\Rorschach_blot_06.jpg,pencil_sharpener,7,1.24%
cards\Rorschach_blot_06.jpg,isopod,8,1.10%
cards\Rorschach_blot_06.jpg,coral_fungus,9,1.08%
cards\Rorschach_blot_07.jpg,missile,0,35.44%
cards\Rorschach_blot_07.jpg,projectile,1,32.01%
cards\Rorschach_blot_07.jpg,parachute,2,9.03%
cards\Rorschach_blot_07.jpg,steam_locomotive,3,5.44%
cards\Rorschach_blot_07.jpg,space_shuttle,4,4.95%
cards\Rorschach_blot_07.jpg,volcano,5,3.51%
cards\Rorschach_blot_07.jpg,geyser,6,1.76%
cards\Rorschach_blot_07.jpg,cauliflower,7,1.04%
cards\Rorschach_blot_07.jpg,necklace,8,0.84%
cards\Rorschach_blot_07.jpg,jellyfish,9,0.58%
cards\Rorschach_blot_08.jpg,coral_fungus,0,12.05%
cards\Rorschach_blot_08.jpg,candle,1,9.89%
cards\Rorschach_blot_08.jpg,conch,2,7.85%
cards\Rorschach_blot_08.jpg,parachute,3,7.06%
cards\Rorschach_blot_08.jpg,vase,4,6.60%
cards\Rorschach_blot_08.jpg,hip,5,6.06%
cards\Rorschach_blot_08.jpg,pencil_sharpener,6,4.02%
cards\Rorschach_blot_08.jpg,artichoke,7,2.46%
cards\Rorschach_blot_08.jpg,leaf_beetle,8,2.39%
cards\Rorschach_blot_08.jpg,fountain,9,2.36%
cards\Rorschach_blot_09.jpg,missile,0,29.87%
cards\Rorschach_blot_09.jpg,conch,1,15.70%
cards\Rorschach_blot_09.jpg,space_shuttle,2,9.10%
cards\Rorschach_blot_09.jpg,aircraft_carrier,3,5.28%
cards\Rorschach_blot_09.jpg,trifle,4,4.43%
cards\Rorschach_blot_09.jpg,projectile,5,4.13%
cards\Rorschach_blot_09.jpg,parachute,6,3.69%
cards\Rorschach_blot_09.jpg,wreck,7,3.24%
cards\Rorschach_blot_09.jpg,warplane,8,3.07%
cards\Rorschach_blot_09.jpg,ice_cream,9,2.58%
cards\Rorschach_blot_10.jpg,rapeseed,0,15.95%
cards\Rorschach_blot_10.jpg,plate,1,12.77%
cards\Rorschach_blot_10.jpg,wine_bottle,2,10.91%
cards\Rorschach_blot_10.jpg,missile,3,8.40%
cards\Rorschach_blot_10.jpg,vase,4,5.24%
cards\Rorschach_blot_10.jpg,spaghetti_squash,5,3.57%
cards\Rorschach_blot_10.jpg,feather_boa,6,2.51%
cards\Rorschach_blot_10.jpg,projectile,7,2.37%
cards\Rorschach_blot_10.jpg,hip,8,1.90%
cards\Rorschach_blot_10.jpg,tray,9,1.42%
