image,labelname,labelnumber,pct
cards\Rorschach_blot_08.jpg,jigsaw_puzzle,1,15.17%
cards\Rorschach_blot_08.jpg,wool,2,9.15%
cards\Rorschach_blot_08.jpg,handkerchief,3,7.66%
cards\Rorschach_blot_08.jpg,pencil_sharpener,4,5.10%
cards\Rorschach_blot_08.jpg,balloon,5,4.23%
cards\Rorschach_blot_08.jpg,stole,6,3.20%
cards\Rorschach_blot_08.jpg,lampshade,7,1.89%
cards\Rorschach_blot_08.jpg,birdhouse,8,1.83%
cards\Rorschach_blot_08.jpg,parachute,9,1.76%
cards\Rorschach_blot_09.jpg,missile,0,27.12%
cards\Rorschach_blot_09.jpg,conch,1,15.68%
cards\Rorschach_blot_09.jpg,parachute,2,9.47%
cards\Rorschach_blot_09.jpg,pencil_sharpener,3,6.17%
cards\Rorschach_blot_09.jpg,candle,4,5.88%
cards\Rorschach_blot_09.jpg,goldfish,5,3.16%
cards\Rorschach_blot_09.jpg,projectile,6,2.97%
cards\Rorschach_blot_09.jpg,fountain,7,2.93%
cards\Rorschach_blot_09.jpg,space_shuttle,8,2.17%
cards\Rorschach_blot_09.jpg,jigsaw_puzzle,9,1.62%
cards\Rorschach_blot_10.jpg,handkerchief,0,58.07%
cards\Rorschach_blot_10.jpg,shower_curtain,1,4.30%
cards\Rorschach_blot_10.jpg,vase,2,4.07%
cards\Rorschach_blot_10.jpg,candle,3,3.32%
cards\Rorschach_blot_10.jpg,bath_towel,4,1.85%
cards\Rorschach_blot_10.jpg,sarong,5,1.84%
cards\Rorschach_blot_10.jpg,purse,6,1.71%
cards\Rorschach_blot_10.jpg,tray,7,1.67%
cards\Rorschach_blot_10.jpg,stole,8,1.23%
cards\Rorschach_blot_10.jpg,bib,9,1.19%
